SurveyID,City,State,Mean Latitude,Mean Longitude,Mean Altitude
1,YAV,Oaxaca,17.23644575,-96.43088975,1973.25
2,YAV,Oaxaca,17.22696925,-96.45952,2005
3,YAV,Oaxaca,,,
4,YAV,Oaxaca,17.23805375,-96.42943425,1997
5,YAV,Oaxaca,17.2364655,-96.42948775,1975.25
6,YAV,Oaxaca,17.236998,-96.43099175,1990.75
7,ZAG,Oaxaca,16.836383,-96.7246795,1482.5
8,ZAG,Oaxaca,16.838406,-96.7242965,1484.75
9,ZAG,Oaxaca,16.8368015,-96.7257785,1478
10,ZAG,Oaxaca,16.8384815,-96.72457725,1486.5
11,NOP,Oaxaca,16.09972425,-97.14444625,426
12,NOP,Oaxaca,,,
13,NOP,Oaxaca,,,
14,NOP,Oaxaca,16.0613995,-97.16988075,486.75
15,NOP,Oaxaca,16.06173,-97.170754,481
16,NOP,Oaxaca,16.080254,-97.120158,466.75
17,NOP,Oaxaca,16.08966425,-97.1046535,616.25
18,NOP,Oaxaca,16.1051305,-97.14419575,447.5
19,NOP,Oaxaca,16.0521545,-97.22529225,341.75
20,ISD,Oaxaca,15.98207375,-97.30122,109.75
21,ISD,Oaxaca,15.9823685,-97.30165425,103.5
22,ISD,Oaxaca,15.9817935,-97.3022585,106.25
23,ISD,Oaxaca,15.98133475,-97.3052215,105
24,ISD,Oaxaca,15.977514,-97.3011005,110.5
25,ISD,Oaxaca,15.98051075,-97.303568,99.325
26,ISD,Oaxaca,15.9811302,-97.3051822,104.4
27,YAI,Oaxaca,16.2283105,-97.26727625,1762
28,YAI,Oaxaca,16.22737,-97.2658455,1754
29,YAI,Oaxaca,16.22850775,-97.26724725,1799.5
30,YAI,Oaxaca,16.227834,-97.27008875,1815
31,YAI,Oaxaca,16.22296525,-97.26962125,1876.5
32,SRL,Oaxaca,16.07629025,-97.61060525,23.45
33,SRL,Oaxaca,16.020732,-97.4328975,25.125
34,SRL,Oaxaca,16.02022333,-97.43141958,24.225
35,POC,Oaxaca,15.71071292,-96.48391125,191
36,POC,Oaxaca,15.76422667,-96.50380417,127.25
37,POC,Oaxaca,15.76862333,-96.50572167,119.5
38,POC,Oaxaca,15.77150792,-96.50678875,140.5
39,POC,Oaxaca,15.76550333,-96.50589792,113.75
40,POC,Oaxaca,15.78139042,-96.48972917,181.5
41,HUX,Chiapas,15.0727075,-92.54181417,13.275
42,HUX,Chiapas,15.07257583,-92.5406675,16.025
43,HUX,Chiapas,15.07346708,-92.54219658,13.125
44,HUX,Chiapas,15.06864917,-92.54663375,7.95
45,HUX,Chiapas,15.0679925,-92.54682667,18.225
46,GOL,Chiapas,15.43357125,-92.65013125,882
47,GOL,Chiapas,15.43367167,-92.64662833,918.5
48,GOL,Chiapas,15.41074458,-92.65886,669.75
49,GOL,Chiapas,15.39885292,-92.65230499,509.75
50,MTC,Chiapas,16.93668075,-93.30713958,349.5
51,MTC,Chiapas,16.93824458,-93.30858375,325
52,MTC,Chiapas,16.937925,-93.30814,322.75
53,MTC,Chiapas,16.93806333,-93.30682917,320
54,,,,,
55,,,,,
56,VLC,Chiapas,16.1821375,-93.27114783,579.25
57,VLC,Chiapas,16.18603458,-93.27047333,598.75
58,VLC,Chiapas,16.18267792,-93.26620875,591.75
59,VLC,Chiapas,16.17887375,-93.2699625,581
60,VLC,Chiapas,16.17917167,-93.27001375,577.5
61,NVL,Chiapas,16.4862875,-92.57453667,1057.75
62,NVL,Chiapas,16.48597,-92.57392042,1102
63,NVL,Chiapas,16.48576083,-92.57350417,1118.25
64,NVL,Chiapas,16.48609875,-92.57244167,1110
65,NVL,Chiapas,16.4897025,-92.56929458,1142.5
