State,Community,Label,Homes,Elevation,Latitude,Longitude,Lane
Oaxaca,Santa María Yavesía,YAV,6,1988.25,17.234986,-96.436065,1
Oaxaca,Santa Ana Zegache,ZEG,4,1482.94,16.837518,-96.724833,2
Oaxaca,Santos Reyes Nopala,NOP,7,466.57,16.07858,-97.154197,2
Oaxaca,San Isídro Campechero,ISD,7,105.53,15.980961,-97.302886,2
Oaxaca,Santiago Yaitepec,YAI,5,1801.4,16.226998,-97.268016,2
Oaxaca,Santa Rosa de Lima,SRL,3,24.27,16.039082,-97.491641,1
Oaxaca,San Pedro Pochutla,POC,6,145.58,15.760327,-96.499309,2
Chiapas,Huixtla,HUX,5,13.72,15.071078,-92.543628,1
Chiapas,Golondrinas,GOL,4,745,15.41921,-92.651981,2
Chiapas,Montecristo,MTC,4,329.31,16.937728,-93.307673,2
Chiapas,Villa Corzo,VLC,5,585.65,16.181779,-93.269561,2
Chiapas,Nuevo León,NVL,5,1106.1,16.486764,-92.57274,1
